broad_category,shallow_category_name,Type,Color,Pattern Type,Length,Fit Type,Neckline,Sleeve Length,Sleeve Type,Hem Shaped,Waist Line,Details,Style
TOPS,Women Knit Tops,-,white,plain,crop,regular fit,spaghetti strap,sleeveless,-,-,-,knot|rib-knit,casual
TOPS,Women Knit Tops,-,white,plants,crop,slim fit,spaghetti strap,sleeveless,-,-,-,embroidery|rib-knit,casual
TOPS,Women T-Shirts,-,white,plain,crop,slim fit,stand collar,long sleeve,regular sleeve,-,-,-,casual
TOPS,Women T-Shirts,-,white,plain,crop,slim fit,stand collar,long sleeve,regular sleeve,-,-,rib-knit,casual
TOPS,Women Tank Tops & Camis,wide strap,white,plain,crop,slim fit,straps,-,-,-,-,frill|tie front|ruched bust,casual
TOPS,Women Knit Tops,-,white,striped,crop,slim fit,straps,sleeveless,-,-,-,-,casual
TOPS,Women Blouses,top,white,plain,crop,regular fit,sweetheart,long sleeve,bishop sleeve,-,-,lettuce trim|ruched bust,casual
TOPS,Women T-Shirts,-,white,plain,crop,slim fit,v neck,long sleeve,regular sleeve,-,-,-,casual
TOPS,Women T-Shirts,-,white,plain,crop,regular fit,v neck,long sleeve,drop shoulder,-,-,-,casual
TOPS,Women Knit Tops,-,white,striped,crop,slim fit,v neck,short sleeve,regular sleeve,-,-,-,casual
TOPS,Women Tops,-,teal blue,plain,crop,slim fit,one shoulder,sleeveless,-,-,-,rib-knit,casual
TOPS,Women T-Shirts,-,redwood,plain,crop,slim fit,v neck,short sleeve,raglan sleeve,-,-,contrast lace|lettuce trim|ruched|rib-knit,casual
TOPS,Women Tops,-,red,marble,crop,slim fit,stand collar,long sleeve,regular sleeve,-,-,lettuce trim,casual
TOPS,Women Tank Tops & Camis,tank,pink,plain,crop,slim fit,scoop neck,-,-,-,-,rib-knit,casual
TOPS,Women T-Shirts,-,olive green,plain,crop,slim fit,round neck,long sleeve,flounce sleeve,-,-,lettuce trim|rib-knit,casual
TOPS,Women Tank Tops & Camis,tank,olive green,plain,crop,slim fit,v neck,-,-,-,-,rib-knit,casual
TOPS,Women Knit Tops,-,navy blue,colorblock,crop,slim fit,collar,short sleeve,regular sleeve,-,-,contrast collar|rib-knit,casual
TOPS,Women Knit Tops,-,navy blue,plain,crop,slim fit,scoop neck,sleeveless,-,-,-,criss cross|rib-knit,casual
TOPS,Women Knit Tops,-,multicolor,plain,crop,slim fit,halter,sleeveless,-,-,-,tie back,casual
TOPS,Women Tops,-,multicolor,plain,crop,slim fit,halter|one shoulder|round neck,sleeveless,-,-,-,rib-knit,casual
TOPS,Women T-Shirts,-,multicolor,plain,crop,slim fit,notched,long sleeve,regular sleeve,-,-,-,casual
TOPS,Women Tank Tops & Camis,tank,multicolor,geometric,crop,slim fit,round neck,-,-,-,-,-,casual
TOPS,Women Tank Tops & Camis,tank,multicolor,graphic,crop,slim fit,round neck,-,-,-,-,sheer,casual
TOPS,Women Tops,-,multicolor,marble,crop,slim fit,round neck,long sleeve,regular sleeve,-,-,sheer,casual
TOPS,Women T-Shirts,-,multicolor,geometric,crop,slim fit,round neck,long sleeve,regular sleeve,-,-,-,casual
TOPS,Women T-Shirts,-,multicolor,colorblock,crop,slim fit,round neck,short sleeve,raglan sleeve,-,-,-,casual
TOPS,Women T-Shirts,-,multicolor,colorblock,crop,slim fit,round neck,long sleeve,raglan sleeve,-,-,-,casual
TOPS,Women T-Shirts,-,multicolor,figure,crop,slim fit,round neck,long sleeve,regular sleeve,-,-,-,casual
TOPS,Women T-Shirts,-,multicolor,striped,crop,slim fit,round neck,long sleeve,regular sleeve,-,-,button,casual
TOPS,Women T-Shirts,-,multicolor,colorblock,crop,slim fit,scoop neck,long sleeve,regular sleeve,-,-,rib-knit,casual
TOPS,Women Knit Tops,-,multicolor,geometric,crop,slim fit,scoop neck,sleeveless,-,-,-,criss cross,casual
TOPS,Women Knit Tops,-,multicolor,plain,crop,slim fit,spaghetti strap,sleeveless,-,-,-,rib-knit,casual
TOPS,Women Tops,-,multicolor,graphic,crop,slim fit,stand collar,long sleeve,regular sleeve,-,-,-,casual
TOPS,Women T-Shirts,-,multicolor,marble,crop,slim fit,stand collar,long sleeve,regular sleeve,-,-,-,casual
TOPS,Women Tops,-,multicolor,figure|plants,crop,slim fit,strapless,sleeveless,-,-,-,-,casual
TOPS,Women Tops,-,multicolor,floral,crop,slim fit,strapless,sleeveless,-,-,-,lace up,casual
TOPS,Women Knit Tops,-,multicolor,striped,crop,regular fit,v neck,sleeveless,-,-,-,-,casual
TOPS,Women T-Shirts,-,mocha brown,figure|slogan,crop,regular fit,round neck,short sleeve,regular sleeve,-,-,-,casual
TOPS,Women T-Shirts,-,mocha brown,letter|graphic,crop,slim fit,stand collar,short sleeve,regular sleeve,-,-,rib-knit,casual
TOPS,Women T-Shirts,-,mint green,plain,crop,slim fit,scoop neck,long sleeve,regular sleeve,-,-,-,casual
TOPS,Women Blouses,top,mint green,plain,crop,regular fit,square neck,long sleeve,bishop sleeve,-,-,shirred,casual
TOPS,Women Knit Tops,-,lime green,gingham,crop,regular fit,round neck,short sleeve,regular sleeve,-,-,-,casual
TOPS,Women T-Shirts,-,lime green,plain,crop,regular fit,v neck,long sleeve,regular sleeve,-,-,-,casual
TOPS,Women Tank Tops & Camis,tank,light grey,plain,crop,slim fit,notched,-,-,-,-,rib-knit|button front,casual
TOPS,Women Knit Tops,-,khaki,plain,crop,slim fit,halter,sleeveless,-,-,-,backless|tie back,casual
TOPS,Women Knit Tops,-,khaki,colorblock,crop,regular fit,v neck,sleeveless,-,flared,-,knot|ruffle hem,casual
